PewDiePie,PU-lHJZR3Gqxm24_Vd_AJ5Yw,109M,https://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
Markiplier,PU7_YxT-KID8kRbqZo7MyscQ,29M,https://www.youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ
Ninja,PUAW-NpUFkMyCNrvRSSGIvDQ,24.2M,https://www.youtube.com/channel/UCAW-NpUFkMyCNrvRSSGIvDQ
Talking Tom,PUm3hAp1m1xlAz0ve_EKAo4g,24.3M,https://www.youtube.com/channel/UCm3hAp1m1xlAz0ve_EKAo4g
Dream,PUTkXRDQl0luXxVQrRQvWS6w,21.5M,https://www.youtube.com/channel/UCTkXRDQl0luXxVQrRQvWS6w
FGTeeV,PUC-RHF_77zQdKcA75hr5oTQ,18.8M,https://www.youtube.com/channel/UCC-RHF_77zQdKcA75hr5oTQ
PopularMMOs,PUpGdL9Sn3Q5YWUH2DVUW1Ug,17.3M,https://www.youtube.com/channel/UCpGdL9Sn3Q5YWUH2DVUW1Ug
Clash of Clans,PUD1Em4q90ZUK2R5HKesszJg,17.2M,https://www.youtube.com/channel/UCD1Em4q90ZUK2R5HKesszJg
MrBeast Gaming,PUIPPMRA040LQr5QPyJEbmXA,17.7M,https://www.youtube.com/channel/UCIPPMRA040LQr5QPyJEbmXA
SSundee,PUke6I9N4KfC968-yRcd5YRg,16.8M,https://www.youtube.com/channel/UCke6I9N4KfC968-yRcd5YRg
IGN,PUKy1dAqELo0zrOtPkf0eTMw,15.4M,https://www.youtube.com/channel/UCKy1dAqELo0zrOtPkf0eTMw
Reaction Time,PUhM5Ff2yVeIZ16EWiB081cg,15.2M,https://www.youtube.com/channel/UChM5Ff2yVeIZ16EWiB081cg
CookieSwirlC,PUelMeixAOTs2OQAAi9wU8-g,15.3M,https://www.youtube.com/channel/UCelMeixAOTs2OQAAi9wU8-g
Kwebbelkop,PUfLuMSIDmeWRYpuCQL0OJ6A,14.5M,https://www.youtube.com/channel/UCfLuMSIDmeWRYpuCQL0OJ6A
The Game Theorists,PUo_IB5145EVNcf8hw1Kku7w,14.1M,https://www.youtube.com/channel/UCo_IB5145EVNcf8hw1Kku7w
League of Legends,PU2t5bjwHdUX4vM2g8TRDq5g,13.8M,https://www.youtube.com/channel/UC2t5bjwHdUX4vM2g8TRDq5g
H2ODelirious,PUClNRixXlagwAd--5MwJKCw,13.3M,https://www.youtube.com/channel/UCClNRixXlagwAd--5MwJKCw
PlayStation,PU-2Y8dQb0S6DtpxNgAKoJKA,13.1M,https://www.youtube.com/channel/UC-2Y8dQb0S6DtpxNgAKoJKA
theRadBrad,PUpqXJOEqGS-TCnazcHCo0rA,12.5M,https://www.youtube.com/channel/UCpqXJOEqGS-TCnazcHCo0rA
Tfue,PU9lSZSYpDDE18hoFA7YlBpw,12.1M,https://www.youtube.com/channel/UC9lSZSYpDDE18hoFA7YlBpw
Piuzinho,PUIvBHgnnLSVr9enuPvBuwyw,11.6M,https://www.youtube.com/channel/UCIvBHgnnLSVr9enuPvBuwyw
Sky Does Everything,PUKlhpmbHGxBE6uw9B_uLeqQ,11.3M,https://www.youtube.com/channel/UCKlhpmbHGxBE6uw9B_uLeqQ
CaptainSparklez,PUshoKvlZGZ20rVgazZp5vnQ,11.2M,https://www.youtube.com/channel/UCshoKvlZGZ20rVgazZp5vnQ
Fortnite,PUlG8odDC8TS6Zpqk9CGVQiQ,10.6M,https://www.youtube.com/channel/UClG8odDC8TS6Zpqk9CGVQiQ
UnspeakableGaming,PUKYb5XBe-5OSEgLijLSoDtw,10.6M,https://www.youtube.com/channel/UCKYb5XBe-5OSEgLijLSoDtw
DANIEL EL TRAVIESO VIDEOS,PUgSk89VX4QiKZsjS25FCBsQ,10.5M,https://www.youtube.com/channel/UCgSk89VX4QiKZsjS25FCBsQ
BuzzFeed Multiplayer,PUBUVGPsJzc1U8SECMgBaMFw,9.96M,https://www.youtube.com/channel/UCBUVGPsJzc1U8SECMgBaMFw
PrestonPlayz,PUJZam2u1G0syq3kyqrCXrNw,10M,https://www.youtube.com/channel/UCJZam2u1G0syq3kyqrCXrNw
CoryxKenshin,PUiYcA0gJzg855iSKMrX3oHg,9.6M,https://www.youtube.com/channel/UCiYcA0gJzg855iSKMrX3oHg
Aphmau,PUzYfz8uibvnB7Yc1LjePi4g,9.34M,https://www.youtube.com/channel/UCzYfz8uibvnB7Yc1LjePi4g
Denis,PUOaMOXfe8EWH1GJyhqhXrAA,9.16M,https://www.youtube.com/channel/UCOaMOXfe8EWH1GJyhqhXrAA
Fe4RLess,PUChwR7eLKtbl1KyI7VFASzQ,9.15M,https://www.youtube.com/channel/UCChwR7eLKtbl1KyI7VFASzQ
Flamingo,PUm-X6o81nRsXQTmqpyArkBQ,9.03M,https://www.youtube.com/channel/UCm-X6o81nRsXQTmqpyArkBQ
FaZe Clan,PUNdpD9V0PIrH1glUJ6RG4-w,8.64M,https://www.youtube.com/channel/UCNdpD9V0PIrH1glUJ6RG4-w
InquisitorMaster,PUS7b93ZwoL1xt2hR7a7l2mg,8.57M,https://www.youtube.com/channel/UCS7b93ZwoL1xt2hR7a7l2mg
WiederDude,PUpDNnvxEf3iWuJbtmUk6DnA,8.51M,https://www.youtube.com/channel/UCpDNnvxEf3iWuJbtmUk6DnA
WILDCAT,PU-kOXc3gBwksVfmndSEz7jg,7.86M,https://www.youtube.com/channel/UC-kOXc3gBwksVfmndSEz7jg
Nintendo,PUGIY_O-8vW4rfX98KlMkvRg,7.8M,https://www.youtube.com/channel/UCGIY_O-8vW4rfX98KlMkvRg
MrLololoshka (Роман Фильченков),PUAvrIl6ltV8MdJo3mV4Nl4Q,7.69M,https://www.youtube.com/channel/UCAvrIl6ltV8MdJo3mV4Nl4Q
AWE me,PUNKcMBYP_-18FLgk4BYGtfw,7.66M,https://www.youtube.com/channel/UCNKcMBYP_-18FLgk4BYGtfw
Thinknoodles,PUhd1FPXykD4pust3ljzq6hQ,7.54M,https://www.youtube.com/channel/UChd1FPXykD4pust3ljzq6hQ
GamingWithKev,PUrkfdiZ4pF3f5waQaJtjXew,7.5M,https://www.youtube.com/channel/UCrkfdiZ4pF3f5waQaJtjXew
ItsFunneh,PUUk7VggtJdo9XYTy3Z5QVAw,7.48M,https://www.youtube.com/channel/UCUk7VggtJdo9XYTy3Z5QVAw
GeorgeNotFound,PUA2tt9GSU2sl8rAqjlLR3mQ,7.58M,https://www.youtube.com/channel/UCA2tt9GSU2sl8rAqjlLR3mQ
Smosh Games,PUJ2ZDzMRgSrxmwphstrm8Ww,7.4M,https://www.youtube.com/channel/UCJ2ZDzMRgSrxmwphstrm8Ww
TBNRFrags,PUNAz5Ut1Swwg6h6ysBtWFog,7.22M,https://www.youtube.com/channel/UCNAz5Ut1Swwg6h6ysBtWFog
Black Plasma Studios,PUawEP-InoKYKutsgq_vqIXA,7.28M,https://www.youtube.com/channel/UCawEP-InoKYKutsgq_vqIXA
Technoblade,PUFAiFyGs6oDiF1Nf-rRJpZA,7.16M,https://www.youtube.com/channel/UCFAiFyGs6oDiF1Nf-rRJpZA
LankyBox,PUSf0s2ogUVYpJPuzW1zpAOg,7.08M,https://www.youtube.com/channel/UCSf0s2ogUVYpJPuzW1zpAOg
iHasCupquake,PUqg2eLFNUu3QN3dttNeOWkw,6.95M,https://www.youtube.com/channel/UCqg2eLFNUu3QN3dttNeOWkw
